label_top,label_side,lenght,breadth,height,side_x,cuboid_volume,actual_volume,weight
banana001T(1),banana001S(1),150.704,63.043,40.909,159.231,388.6695474,150,149.8
banana001T(2),banana001S(2),157.5,89,40.882,185.075,573.063435,150,149.8
banana001T(3),banana001S(3),165.357,65,40.761,167.361,438.107584,150,149.8
banana002T(1),banana002S(1),165.441,129.924,46.719,82.143,1004.213528,170,156.9
banana002T(2),banana002S(2),171.429,103.024,38.804,89.286,685.3291355,170,156.9
banana002T(3),banana002S(3),170.69,97.533,42.208,74.405,702.6748912,170,156.9
banana003T(1),banana003S(1),73.311,135.922,35.496,128.922,353.7026515,150,139
banana003T(2),banana003S(2),61.321,154.861,36.492,162.838,346.5364756,150,139
banana004T(1),banana004S(1),170.679,109.685,46.533,72.727,871.1408549,200,159.6
banana004T(2),banana004S(2),134.659,163.816,43.994,124.597,970.4767889,200,159.6
banana004T(3),banana004S(3),196.91,87.284,48.936,90.476,841.0675556,200,159.6
banana005T(1),banana005S(1),112.346,184.906,27.579,157.031,572.9109631,150,153.5
banana005T(2),banana005S(2),110.473,174.306,34.722,158.495,668.6105382,150,153.5
banana005T(3),banana005S(3),187.5,89.619,36.29,88.983,609.8012831,150,153.5
banana006T(1),banana006S(1),174.148,113.843,30.242,90.16,599.5637014,150,144
banana006T(2),banana006S(2),144.293,92.361,36.009,81.818,479.8935912,150,144
banana006T(3),banana006S(3),98.358,153.5,33.266,155.172,502.2485045,150,144
banana007T(1),banana007S(1),143.902,101.98,41.667,98.78,611.4684734,150,141.4
banana007T(2),banana007S(2),90.504,152.296,32.569,144.118,448.9114629,150,141.4
banana007T(3),banana007S(3),90.691,150.775,36.667,139.198,501.3821939,150,141.4
banana008T(1),banana008S(1),77.419,192.035,34.052,163.587,506.2564528,170,155.1
banana008T(2),banana008S(2),178.804,86.765,38.938,160.366,604.0813697,170,155.1
banana008T(3),banana008S(3),176.282,77.427,35.294,119.231,481.7273265,170,155.1
banana008T(4),banana008S(4),81.875,173.148,38.953,166.927,552.2169124,170,155.1
banana008T(5),banana008S(5),77.5,179.208,39.113,152.041,543.2255941,170,155.1
banana009T(1),banana009S(1),95.779,184.862,34.722,174.713,614.7841729,210,183.5
banana009T(2),banana009S(2),72.887,189.674,30.462,206.176,421.1301083,210,183.5
banana009T(3),banana009S(3),87.676,228.161,38.793,173.864,776.0246311,210,183.5
banana009T(4),banana009S(4),104.688,206.034,30.825,205,664.8732839,210,183.5
banana009T(5),banana009S(5),94.643,230.556,40.094,176.471,874.8715884,210,183.5
banana009T(6),banana009S(6),115,194.737,41.274,192.5,924.3211179,210,183.5
banana009T(7),banana009S(7),103.986,184.946,35.746,186.022,687.4597353,210,183.5
banana009T(8),banana009S(8),79.861,180.102,39.541,174.679,568.7231781,210,183.5
banana010T(1),banana010S(1),77.922,170.25,33.73,145,447.4696175,190,173.5
banana010T(2),banana010S(2),86.513,160.194,33.559,187.013,465.0896009,190,173.5
banana010T(3),banana010S(3),88.462,165.238,34.491,151.22,504.1647409,190,173.5
banana010T(4),banana010S(4),82.308,177.744,39.623,150,579.6747091,190,173.5
banana010T(5),banana010S(5),82.197,189.13,29.861,183.951,464.2166756,190,173.5
banana010T(6),banana010S(6),92.434,163.107,33.871,168.956,510.6606173,190,173.5
banana010T(7),banana010S(7),92.23,178.061,39.463,144.792,648.0837232,190,173.5
banana010T(8),banana010S(8),102.188,168.095,42.161,157.692,724.2118021,190,173.5
banana011T(1),banana011S(1),71.988,147.642,33.491,128.409,355.9574958,130,128.3
banana011T(2),banana011S(2),75,146.25,32.895,140.625,360.8170313,130,128.3
banana011T(3),banana011S(3),74,145.545,33.565,124.432,361.5061265,130,128.3
banana011T(4),banana011S(4),74.695,145.991,34.174,138.554,372.6605581,130,128.3
banana011T(5),banana011S(5),75.347,155.978,34.028,145.93,399.9131977,130,128.3
banana011T(6),banana011S(6),146.795,72.959,31.132,65.663,333.4242307,130,128.3
banana011T(7),banana011S(7),70.679,151.316,39.286,136.176,420.15841,130,128.3
banana011T(8),banana011S(8),72.059,143.056,34.862,151.163,359.3739615,130,128.3
banana011T(9),banana011S(9),72.554,147.198,33.565,141.573,358.4676109,130,128.3
banana012T(1),banana012S(1),70.988,151.238,30.75,133.442,330.1345567,140,117.1
banana012T(2),banana012S(2),65.625,149.286,31.378,128.571,307.4069321,140,117.1
banana012T(3),banana012S(3),68.678,144.954,29.95,137.171,298.1567668,140,117.1
banana012T(4),banana012S(4),63.855,144.802,30.25,132.372,279.7015342,140,117.1
banana012T(5),banana012S(5),68.976,144.266,30.867,131.081,307.1541715,140,117.1
banana012T(6),banana012S(6),67.733,149.306,31,133.013,313.5012422,140,117.1
banana012T(7),banana012S(7),65.541,151.075,30.446,125.321,301.4643138,140,117.1
banana012T(8),banana012S(8),72,143.367,33.5,135.915,345.801204,140,117.1
banana013T(1),banana013S(1),82.955,178.824,34.949,150.926,518.4455206,190,160.1
banana013T(10),banana013S(10),67.568,176.149,34.223,137.963,407.3233654,190,160.1
banana013T(11),banana013S(11),72.101,155.914,36.75,145.779,413.1271578,190,160.1
banana013T(12),banana013S(12),63.929,185.588,34.375,148.494,407.8406493,190,160.1
banana013T(2),banana013S(2),87.813,172.917,36.386,147.222,552.4981419,190,160.1
banana013T(3),banana013S(3),63.855,175.901,36.881,150,414.2532323,190,160.1
banana013T(4),banana013S(4),75.338,191.304,34.949,173.958,503.7010908,190,160.1
banana013T(5),banana013S(5),77.885,183.854,38.158,142.073,546.4022901,190,160.1
banana013T(6),banana013S(6),67.905,174.185,38.978,171,461.0330479,190,160.1
banana013T(7),banana013S(7),73.701,171.774,33.911,155.625,429.310397,190,160.1
banana013T(8),banana013S(8),80.435,180.172,37.105,133.235,537.7306625,190,160.1
banana013T(9),banana013S(9),75,182.88,34.949,143.675,479.360484,190,160.1
banana014T(1),banana014S(1),97.727,168.571,35.039,144.415,577.2303177,170,157
banana014T(10),banana014S(10),82.394,149.185,45.474,151.63,558.9640838,170,157
banana014T(2),banana014S(2),78.571,162.611,37.411,117.13,477.9819737,170,157
banana014T(3),banana014S(3),80.914,155.966,34.958,150.581,441.1641194,170,157
banana014T(4),banana014S(4),76.923,166.25,37.19,141.176,475.602409,170,157
banana014T(5),banana014S(5),86.747,165.777,43.319,158.235,622.9556987,170,157
banana014T(6),banana014S(6),101.667,169.059,37.81,162.647,649.8677444,170,157
banana014T(7),banana014S(7),97.866,155.093,44.469,151.124,674.9652252,170,157
banana014T(8),banana014S(8),91.667,147,39.831,150,536.7246767,170,157
banana014T(9),banana014S(9),87.333,156.633,35.887,157.732,490.9065194,170,157
banana015T(1),banana015S(1),160.274,85.215,39.904,102.941,544.9988125,170,164.8
banana015T(2),banana015S(2),79.114,163.684,36.553,132.477,473.350237,170,164.8
banana015T(3),banana015S(3),182.468,90.046,34.295,72.561,563.4844614,170,164.8
banana015T(4),banana015S(4),86.62,159.474,28.831,151.075,398.2609937,170,164.8
banana015T(5),banana015S(5),165.333,82.895,41.168,91.085,564.2189273,170,164.8
banana015T(6),banana015S(6),103.623,161.579,35.927,132.563,601.5365649,170,164.8
banana015T(7),banana015S(7),153.333,84.211,39.151,79.58,505.5304464,170,164.8
banana015T(8),banana015S(8),79.452,170.977,33.403,157.258,453.7618712,170,164.8